Id,Date,Open,High,Low,Close,Volume,Stock_Trading
1,12/30/2016,42120,42330,41700,41830,610000,25628028000
2,12/29/2016,43000,43220,42540,42660,448400,19188227000
3,12/28/2016,43940,43970,43270,43270,339900,14780670000
4,12/27/2016,43140,43700,43140,43620,400100,17427993000
5,12/26/2016,43310,43660,43090,43340,358200,15547803000
6,12/22/2016,43660,43840,43190,43480,381600,16586491000
7,12/21/2016,43900,44370,43610,44000,658900,28994316000
8,12/20/2016,42910,43630,42860,43620,499400,21606102000
9,12/19/2016,42790,43150,42740,43130,358700,15428531000
10,12/16/2016,43350,43550,42810,43130,542000,23380606000
11,12/15/2016,43440,43880,42550,43000,627400,27055034000
12,12/14/2016,43300,43440,42590,43090,548800,23600236000
13,12/13/2016,43130,43300,42630,43210,434500,18658982000
14,12/12/2016,43950,44000,42880,43130,775300,33633233000
15,12/9/2016,41700,42970,41150,42590,1975600,83251556000
16,12/8/2016,41480,41560,40830,41100,639900,26310776000
17,12/7/2016,40500,41150,40420,40870,536800,21935649000
18,12/6/2016,40350,40500,39860,40150,618100,24820835000
19,12/5/2016,40060,40350,39690,39760,620500,24756974000
20,12/2/2016,40300,40660,39960,40660,573000,23117924000
21,12/1/2016,40500,41190,40320,40460,850700,34630369000
22,11/30/2016,40300,40340,39570,39570,692200,27596077000
23,11/29/2016,40420,40580,40100,40200,894400,36013470000
24,11/28/2016,41260,41440,40830,41260,384800,15844055000
25,11/25/2016,41820,42020,41220,41370,665500,27635591000
26,11/24/2016,41300,41760,41170,41730,692900,28790748000
27,11/22/2016,39880,40360,39660,40360,500200,20073907000
28,11/21/2016,40210,40270,39510,39970,609600,24304570000
29,11/18/2016,39980,40620,39900,40190,886500,35703144000
30,11/17/2016,39200,39710,39050,39280,573700,22579532000
31,11/16/2016,39130,39750,39110,39400,764300,30177742000
32,11/15/2016,38600,38980,38470,38570,555600,21472470000
33,11/14/2016,37730,38690,37680,38580,784100,30098109000
34,11/11/2016,37590,37940,37190,37600,1329900,50023444000
35,11/10/2016,36480,37110,36000,36890,1309900,47791726000
36,11/9/2016,36920,37220,33520,33680,1570400,54661530000
37,11/8/2016,36870,37050,36410,36550,417500,15297061000
38,11/7/2016,36020,36710,36000,36640,648000,23655440000
39,11/4/2016,35460,35930,35360,35510,499100,17747865000
40,11/2/2016,35450,35940,35420,35540,396700,14154272000
41,11/1/2016,35440,36050,35310,35890,366200,13093352000
42,10/31/2016,35690,36030,35450,35460,344400,12260234000
43,10/28/2016,36020,36450,35980,35980,454200,16400925000
44,10/27/2016,36250,36370,35600,35770,426500,15291775000
45,10/26/2016,36840,36850,36380,36450,353400,12904237000
46,10/25/2016,36500,36940,36450,36850,400800,14747028000
47,10/24/2016,36650,36660,36000,36300,365000,13238639000
48,10/21/2016,36350,36850,36180,36300,579900,21125073000
49,10/20/2016,34910,36330,34910,36330,751800,27080028000
50,10/19/2016,34900,35050,34600,35020,356500,12436404000
51,10/18/2016,34490,34900,34210,34900,477400,16572078000
52,10/17/2016,34710,35030,34180,34210,657500,22641069000
53,10/14/2016,33200,35090,33200,34800,1671000,56859361000
54,10/13/2016,34000,34290,33010,33150,556000,18658970000
55,10/12/2016,33550,34030,33380,33790,464500,15704798000
56,10/11/2016,33580,34040,33560,33920,529400,17932293000
57,10/7/2016,33600,33900,33400,33500,407300,13682994000
58,10/6/2016,34200,34460,34030,34040,454400,15542676000
59,10/5/2016,34150,34200,33600,33940,534400,18158415000
60,10/4/2016,33300,33950,33150,33490,688900,23118399000
61,10/3/2016,32800,32990,32580,32980,421000,13828096000
62,9/30/2016,32030,32490,31970,32290,650400,20982536000
63,9/29/2016,32620,32650,32140,32480,453600,14722481000
64,9/28/2016,32400,32440,31800,32040,558400,17904604000
65,9/27/2016,32530,32650,31860,32400,626100,20247524000
66,9/26/2016,32780,33350,32640,32710,656700,21647340000
67,9/23/2016,32950,33760,32810,33230,692500,23073113000
68,9/21/2016,32370,33190,31010,33000,1536200,49993501000
69,9/20/2016,33480,33530,32480,32510,1042300,34264252000
70,9/16/2016,33990,34400,33600,34360,606600,20713431000
71,9/15/2016,34740,34820,33930,34110,663400,22693009000
72,9/14/2016,35400,35540,34950,35080,466300,16417960000
73,9/13/2016,35880,36140,35560,35750,384100,13744821000
74,9/12/2016,35930,36180,35340,35470,482400,17199133000
75,9/9/2016,36410,36590,35970,36330,1014200,36889956000
76,9/8/2016,36700,36750,36020,36410,475000,17300032000
77,9/7/2016,36600,36900,36220,36390,593600,21647907000
78,9/6/2016,36990,37310,36820,36860,540100,19948406000
79,9/5/2016,36500,37520,36480,37120,780400,28940155000
80,9/2/2016,35750,35900,35340,35700,772200,27486552000
81,9/1/2016,36400,36490,35680,35940,694200,24941742000
82,8/31/2016,36500,36750,36310,36340,443200,16156791000
83,8/30/2016,36220,36500,36210,36440,499700,18192307000
84,8/29/2016,35910,36480,35670,36450,723500,26107629000
85,8/26/2016,35400,35790,34780,35370,1117000,39461941000
86,8/25/2016,35400,35890,34660,35460,1371300,48501935000
87,8/24/2016,36160,36850,35470,35600,897700,32217629000
88,8/23/2016,36680,37050,36480,36580,546500,20064120000
89,8/22/2016,37270,37360,36910,36980,354100,13132610000
90,8/19/2016,36950,37590,36840,37150,587300,21865218000
91,8/18/2016,36880,37620,36450,36560,855000,31613517000
92,8/17/2016,36740,37170,36700,36970,524600,19379792000
93,8/16/2016,37590,37680,36500,36500,961900,35441372000
94,8/15/2016,38140,38230,37580,37630,384700,14553808000
95,8/12/2016,37530,38250,37120,38080,899600,33982071000
96,8/10/2016,37600,37860,36930,37000,825600,30785958000
97,8/9/2016,37700,38250,37180,37500,837900,31590185000
98,8/8/2016,37800,37950,37150,37880,952000,35845304000
99,8/5/2016,35950,36880,35670,36640,1295200,47225205000
100,8/4/2016,35200,35530,34210,35500,1224800,43052588000
101,8/3/2016,34340,35080,33900,34540,1288600,44487561000
102,8/2/2016,34330,34580,33610,33640,640000,21847347000
103,8/1/2016,33300,34900,33110,34670,947300,32604467000
104,7/29/2016,32230,34150,32210,33430,827000,27331777000
105,7/28/2016,33300,33370,32850,32910,385700,12739840000
106,7/27/2016,32880,34240,32830,33630,734500,24689624000
107,7/26/2016,33040,33300,32360,32530,574100,18744455000
108,7/25/2016,32630,33350,32560,33170,473700,15674764000
109,7/22/2016,33160,33240,32530,32640,492500,16162182000
110,7/21/2016,33420,34450,33420,33720,737000,25043771000
111,7/20/2016,33160,33280,32750,32920,662300,21836575000
112,7/19/2016,34500,35000,33120,33700,1391900,47008911000
113,7/15/2016,31000,32660,31000,32660,1675600,53401141000
114,7/14/2016,27750,28010,27390,27660,570100,15815981000
115,7/13/2016,28500,28500,27675,28145,765800,21513187500
116,7/12/2016,27750,27995,27510,27800,909100,25240624500
117,7/11/2016,26200,26995,26105,26845,757700,20164674000
118,7/8/2016,26020,26145,25355,25445,993300,25525390500
119,7/7/2016,26185,26665,25910,26030,603200,15787800500
120,7/6/2016,26000,26070,25305,25900,995800,25553227500
121,7/5/2016,27205,27225,26460,26540,928100,24779478500
122,7/4/2016,26800,27920,26760,27705,555400,15237768000
123,7/1/2016,27710,27845,27155,27360,485300,13308634500
124,6/30/2016,27905,27980,27245,27300,721600,19862697000
125,6/29/2016,27955,27980,27480,27595,790700,21929700000
126,6/28/2016,27000,27730,26705,27455,693000,18878934500
127,6/27/2016,26795,27470,26325,27385,823500,22244382000
128,6/24/2016,29525,29925,26120,26295,1569600,43557682500
129,6/23/2016,28500,29425,28375,29340,684400,19886987500
130,6/22/2016,28465,28550,27765,28230,571500,16092081000
131,6/21/2016,28230,28645,27800,28595,471200,13352295000
132,6/20/2016,27940,28695,27940,28395,736600,20891231500
133,6/17/2016,27535,27900,27435,27550,789100,21783169000
134,6/16/2016,28390,28865,27210,27260,895500,25037095500
135,6/15/2016,28010,28390,27750,28255,733600,20630211000
136,6/14/2016,29060,29190,28055,28330,800300,22787560500
137,6/13/2016,29380,29605,29050,29055,737300,21536135500
138,6/10/2016,29950,30270,29630,29815,1320400,39528311000
139,6/9/2016,30260,30500,29855,29940,505800,15198761000
140,6/8/2016,30030,30450,29810,30450,548200,16525480500
141,6/7/2016,30050,30190,29710,29995,662200,19843414000
142,6/6/2016,29420,30200,29335,30090,704700,21011689000
143,6/3/2016,29205,30450,29100,30120,1410200,42195014000
144,6/2/2016,28800,28800,28100,28180,726800,20575801500
145,6/1/2016,29510,29845,28880,28965,583400,17103515500
146,5/31/2016,29195,29995,29155,29885,532200,15825258500
147,5/30/2016,29195,29485,28905,29385,476000,13927659500
148,5/27/2016,29700,29725,28970,29000,461300,13478600000
149,5/26/2016,29240,29745,29135,29400,685900,20180084500
150,5/25/2016,28165,28830,28090,28740,762100,21793832000
151,5/24/2016,27995,28035,27515,27665,605500,16752917000
152,5/23/2016,28520,28610,27615,27965,593200,16663204000
153,5/20/2016,28375,28870,27930,28775,487300,13892962000
154,5/19/2016,28800,29065,28255,28475,466800,13345060500
155,5/18/2016,28510,28860,28135,28585,799200,22800138000
156,5/17/2016,28750,28945,28235,28660,650500,18570624000
157,5/16/2016,28655,28950,28050,28150,594700,16948792500
158,5/13/2016,29380,29380,28490,28500,874500,25343326000
159,5/12/2016,28610,29115,28205,29020,452600,12992436500
160,5/11/2016,29395,29520,28650,28750,531800,15449366500
161,5/10/2016,29065,29095,28160,28895,755400,21713596000
162,5/9/2016,28195,28670,28050,28610,535900,15243957500
163,5/6/2016,28140,28330,27355,28020,923300,25740706500
164,5/2/2016,27685,28260,27560,27945,1017200,28404862500
165,4/28/2016,31490,32040,29160,29185,1499200,45108636000
166,4/27/2016,30550,31290,30530,30980,1306500,40468879000
167,4/26/2016,30880,31250,30150,30540,887400,27178631000
168,4/25/2016,32110,32490,31050,31140,936700,29582628000
169,4/22/2016,30610,32220,30610,31950,1255200,39521681000
170,4/21/2016,30500,31280,30310,30890,1271300,39149176000
171,4/20/2016,30310,30420,29180,29425,1070000,31592650500
172,4/19/2016,28985,30020,28950,29870,1059500,31410751500
173,4/18/2016,28640,28825,28030,28075,964900,27365674500
174,4/15/2016,29000,30250,28850,29615,1047300,31022179500
175,4/14/2016,29275,29935,29140,29800,1174300,34785700000
176,4/13/2016,27500,28825,27140,28695,1606000,45487353000
177,4/12/2016,26590,27025,26320,26915,833600,22340688500
178,4/11/2016,26620,27090,26375,26815,1159400,30889285500
179,4/8/2016,27500,27785,26395,26610,2352200,63954036500
180,4/7/2016,31880,31880,30370,30490,777300,23986661000
181,4/6/2016,31860,32250,31550,31640,631900,20071263000
182,4/5/2016,32970,32990,31890,32020,850800,27481312000
183,4/4/2016,33770,34080,33300,33410,654300,21928716000
184,4/1/2016,35800,35940,33860,34070,803200,27784248000
185,3/31/2016,36850,36950,36020,36020,648000,23606247000
186,3/30/2016,37040,37050,36470,36500,417200,15313129000
187,3/29/2016,35940,36780,35390,36780,635000,23058365000
188,3/28/2016,36690,36760,36070,36150,391200,14228337000
189,3/25/2016,36480,36720,36270,36410,405700,14799382000
190,3/24/2016,36690,36900,36210,36240,620800,22649742000
191,3/23/2016,36000,36860,35900,36760,765600,27969558000
192,3/22/2016,35760,35900,35100,35660,455200,16173456000
193,3/18/2016,35810,35960,34840,35120,639500,22509104000
194,3/17/2016,36280,36810,35630,35850,572700,20749030000
195,3/16/2016,36000,36260,35660,35910,437900,15740828000
196,3/15/2016,36680,36950,36180,36270,747000,27308060000
197,3/14/2016,35400,36390,35400,36390,824300,29779495000
198,3/11/2016,33400,34850,33350,34590,1626200,54793137000
199,3/10/2016,34200,34230,33840,34030,444900,15148346000
200,3/9/2016,33900,34150,33610,33690,652900,22050308000
201,3/8/2016,34690,34710,33940,34420,809900,27774966000
202,3/7/2016,34810,34810,34400,34490,645500,22305365000
203,3/4/2016,34630,34700,34210,34410,537400,18511028000
204,3/3/2016,33330,34660,33080,34530,1056000,36072066000
205,3/2/2016,32000,33530,31970,33330,1110600,36573891000
206,3/1/2016,31390,31620,30910,31310,757700,23622069000
207,2/29/2016,31520,31990,31280,31340,658800,20768480000
208,2/26/2016,31770,32420,31540,31540,702100,22463858000
209,2/25/2016,31190,31420,30760,31230,619000,19240818000
210,2/24/2016,31700,31800,31170,31320,580000,18238015000
211,2/23/2016,32000,32560,31630,31960,577700,18498263000
212,2/22/2016,31130,32240,31130,31760,693500,22070114000
213,2/19/2016,31610,31780,31040,31500,751100,23597208000
214,2/18/2016,32500,32520,31340,31960,1016000,32490144000
215,2/17/2016,32690,32820,30720,31240,1105600,34917564000
216,2/16/2016,32710,33530,32210,32810,980300,32256538000
217,2/15/2016,33130,33490,32520,33220,1016700,33590590000
218,2/12/2016,31870,32770,31060,32390,2255200,72331720000
219,2/10/2016,33100,33300,31820,32520,1002100,32427166000
220,2/9/2016,33590,34050,32710,32870,1000500,33262837000
221,2/8/2016,34030,35330,33710,35070,835400,28828942000
222,2/5/2016,34750,35070,34080,34590,957900,33099695000
223,2/4/2016,36500,36660,35270,35400,1106300,39412199000
224,2/3/2016,37470,37880,36250,36620,1060500,39028814000
225,2/2/2016,37370,37570,37030,37240,600100,22382940000
226,2/1/2016,38610,38710,37320,37670,884000,33425870000
227,1/29/2016,37320,39890,36660,38430,1626100,62154404000
228,1/28/2016,37090,37730,36930,37120,767900,28623015000
229,1/27/2016,37290,38270,37170,37610,771700,29043300000
230,1/26/2016,37000,37120,36750,36990,814700,30102784000
231,1/25/2016,37650,38190,36790,37870,974800,36684929000
232,1/22/2016,35700,37710,35620,37420,1418900,52465256000
233,1/21/2016,35810,36060,34540,34610,1321500,46719611000
234,1/20/2016,37470,37480,35380,35650,1254300,45220604000
235,1/19/2016,36610,37320,36410,37220,739800,27400333000
236,1/18/2016,36370,36980,35730,36730,795800,29065971000
237,1/15/2016,38120,38490,36810,37000,786100,29473759000
238,1/14/2016,37290,37800,36850,37640,863300,32184162000
239,1/13/2016,37840,38720,37740,38690,805500,30941515000
